Outlet Inventory Sheet,,,,,,,
"Mandarin Oriental, Washington DC",,,,,,,
,,,,,,Period :,________________
Product,Product,,Inv.,Inventory,,Purch.,Outlet
,Description,,Cost,Count,Unit,Par,Par
Outlet,262,Empress Lounge Beverage,,By,Location,,
Location,,Unassigned,,,,,
1178,"Canadian Whisky, Canadian Club, Canada, 6 year, 1L (1000 ml)",,$14.69 ,_________,EACH,No Par,No Par
,,,,,,,
Location,45,Empress Bar,,,,,
1120,"Amstel, Light, Holland, [12oz Bottle] (12 oz)",,$1.15 ,_________,EACH,No Par,No Par
,,,,,,,
3451,"Other, Cordial Elderflower Belvoir (16.8 OZ)",,$76.54 ,_________,BOTTLE,No Par,No Par
,,,,,,,
14652,"Tennessee Whiskey, Jack Daniel's, ""Gentleman Jack"", Lynchburg, Tennessee, 1L (1000ml)",,$32.96 ,_________,EACH,No Par,No Par
,,,,,,,
1122,"Bud, Light, USA, [12oz Bottle] (12 oz)",,$1.01 ,_________,EACH,No Par,No Par
,,,,,,,
1121,"Budweiser, USA, [12oz Bottle] (12 oz)",,$0.95 ,_________,EACH,No Par,No Par
,,,,,,,
1111,"Clausthaler, Non-Alcoholic, ""Original"", Frankfurt, Germany, [12oz Bottle] (12 oz)",,$1.06 ,_________,EACH,No Par,No Par
,,,,,,,
1113,"Heineken, Holland, [12oz Bottle] (12 oz)",,$1.25 ,_________,EACH,No Par,No Par
,,,,,,,
1128,"Samuel Adams, Ale, USA, [12oz Bottle] (12 oz)",,$1.35 ,_________,EACH,No Par,No Par
,,,,,,,
1212,"Vodka, Grey Goose, France, 1L (1000 ml)",,$32.41 ,_________,EACH,No Par,No Par
,,,,,,,
1109,"Stella Artois, Belgium, [12oz Bottle] (12 oz)",,$1.18 ,_________,EACH,No Par,No Par
,,,,,,,
28054,"Gin, Corsair Distillery, American, USA (750ml)",,$29.00 ,_________,EACH,No Par,No Par
,,,,,,,
1115,"Guinness, Stout, ""Draught"", Ireland, [12oz Bottle] (12 oz)",,$1.25 ,_________,EACH,No Par,No Par
,,,,,,,
1327,"Vodka, Stolichnaya, ""Vanil"", Russia, 1L (1000 ml)",,$33.36 ,_________,EACH,No Par,No Par
,,,,,,,
45604,"Gin, Boodles, London Dry, England, 1L (1000ml)",,$25.25 ,_________,EACH,No Par,No Par
,,,,,,,
1129,"Lagunitas, IPA, USA, [12oz Bottle] (12 oz)",,$1.35 ,_________,EACH,No Par,No Par
,,,,,,,
7863,"Samuel Adams, ""Boston Lager"", USA, [12oz Bottle] (24/12 OZ)",,$1.40 ,_________,BOTTLE,No Par,No Par
,,,,,,,
8135,"Vodka, Tito's, ""Handmade"", Austin, Texas, 1L (1000 ml)",,$20.75 ,_________,EACH,No Par,No Par
,,,,,,,
1116,"Asahi, Amber Lager, ""Brewmaster's Select"", Ontario, Canada, [12oz Bottle] (12 oz)",,$1.35 ,_________,EACH,No Par,No Par
,,,,,,,
14699,"Gin, Nolet's, ""Silver"", The Netherlands (750ml)",,$56.74 ,_________,EACH,No Par,No Par
,,,,,,,
44717,"Paulaner, Hefeweizen, Munich, Germany, [11.2oz] (11.2oz)",,$1.32 ,_________,EACH,No Par,No Par
,,,,,,,
