Outlet Inventory Sheet,,,,,,,
Salamander Washington DC,,,,,,,
,,,,,Period :,________________,
Product,Product,,Inv.,Inventory,,Purch.,Outlet
,Description,,Cost,Count,Unit,Par,Par
Outlet,99,Storeroom,By,Location,,,
Location,1,Shelf 1,,,,,
3204,"Jams/Marmalade/Peanut Butter, Preserves Blueberry Bonne Maman (60/1 OZ.)",,$35.06 ,_________,CASE,4,No Par
,,,,,,,
3219,"Jams/Marmalade/Peanut Butter, Preserves Raspberry Bonne Maman (60/1 OZ)",,$37.95 ,_________,CASE,4,No Par
,,,,,,,
3216,"Jams/Marmalade/Peanut Butter, Marmalade Orange (60 /1 OZ)",,$40.60 ,_________,CASE,4,No Par
,,,,,,,
3220,"Jams/Marmalade/Peanut Butter, Preserves Strawberry Bonne Maman (60/1 OZ)",,$35.79 ,_________,CASE,4,No Par
,,,,,,,
3217,"Jams/Marmalade/Peanut Butter, Peanut Butter Creamy Skippy (6/4 LB)",,$12.08 ,_________,JAR,12,No Par
,,,,,,,
2396,"Condiments, Honey SS (60/1 OZ)",,$50.91 ,_________,CASE,10,No Par
,,,,,,,
3213,Assorted Single Serve Jelly (200/0.5 OZ),,$15.48 ,_________,CARTON,2,No Par
,,,,,,,
21682,"Rice/Grain/Legumes, Rice Brown (25 LB)",,$26.39 ,_________,BAG,2,No Par
,,,,,,,
4973,"Rice/Grain/Legumes, Parboiled White Rice (25 LB)",,$29.33 ,_________,BAG,2,No Par
,,,,,,,
4978,"Rice/Grain/Legumes, Rice Jasmine (20 LB)",,$37.01 ,_________,BAG,20,No Par
,,,,,,,
3776,"Other, Sugar Granulated Cane X Fine (50 LB)",,$42.61 ,_________,CASE,4,No Par
,,,,,,,
7610,"Flours/Starches, Flour All Purpose OU (50 LB)",,$27.17 ,_________,CASE,No Par,No Par
,,,,,,,
2723,"Flours/Starches, Ka Special Flour C3547 (50 LB)",,$26.77 ,_________,CASE,4,No Par
,,,,,,,
52481,"Oils/Shortening, Shortening Frying Canola Liquid Clear (35 LB)",,$40.31 ,_________,CASE,15,No Par
,,,,,,,
2401,"Condiments, Ketchup Jar Room Service (60/2.25 OZ)",,$36.03 ,_________,CASE,10,No Par
,,,,,,,
2406,"Condiments, Mayonnaise Room Service (60/1.8 OZ)",,$117.92 ,_________,CASE,8,No Par
,,,,,,,
2410,"Condiments, Mustard, Dijon, Room Service, ME (60/2 OZ)",,$56.98 ,_________,CASE,6,No Par
,,,,,,,
2416,"Condiments, Sauce Steak (72/1.4 OZ.)",,$61.36 ,_________,CASE,3,No Par
,,,,,,,
91378,"Snacks/Chips/Candies, Snack Mix Original No Nuts (12/1 LB)",,$47.61 ,_________,CASE,No Par,No Par
,,,,,,,
89435,"Condiments, Relish Pickle Sweet SS Packet  (200/.2 OZ)",,$14.34 ,_________,CASE,No Par,No Par
,,,,,,,
18266,"Condiments, Mustard Yellow (12/12oz)",,$24.36 ,_________,CASE,No Par,No Par
,,,,,,,
89434,"Condiments, Ketchup Fancy SS Packet  (500/.2 OZ)",,$49.74 ,_________,CASE,No Par,No Par
,,,,,,,
11931,"Condiments, Mayonnaise SS Packet (200/.4 OZ)",,$32.77 ,_________,CASE,No Par,No Par
,,,,,,,
